"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0027628","부산 강서구","(주)우양네트웍스 구도일주유소 삼광","부산 강서구 공항로 799 (대저2동)","20220813","S-OIL","셀프","0","1715","1817","0"
"A0027628","부산 강서구","(주)우양네트웍스 구도일주유소 삼광","부산 강서구 공항로 799 (대저2동)","20220814","S-OIL","셀프","0","1715","1817","0"
"A0027628","부산 강서구","(주)우양네트웍스 구도일주유소 삼광","부산 강서구 공항로 799 (대저2동)","20220815","S-OIL","셀프","0","1715","1817","0"
"A0027628","부산 강서구","(주)우양네트웍스 구도일주유소 삼광","부산 강서구 공항로 799 (대저2동)","20220816","S-OIL","셀프","0","1715","1817","0"
"A0027628","부산 강서구","(주)우양네트웍스 구도일주유소 삼광","부산 강서구 공항로 799 (대저2동)","20220817","S-OIL","셀프","0","1715","1817","0"
"A0033322","부산 강서구","(주)우양네트웍스 송산주유소","부산 강서구 호계로 200 (죽동동)","20220810","S-OIL","셀프","0","1747","1849","0"
"A0033322","부산 강서구","(주)우양네트웍스 송산주유소","부산 강서구 호계로 200 (죽동동)","20220811","S-OIL","셀프","0","1727","1839","0"
"A0033322","부산 강서구","(주)우양네트웍스 송산주유소","부산 강서구 호계로 200 (죽동동)","20220812","S-OIL","셀프","0","1717","1825","0"
"A0033322","부산 강서구","(주)우양네트웍스 송산주유소","부산 강서구 호계로 200 (죽동동)","20220813","S-OIL","셀프","0","1699","1825","0"
"A0033322","부산 강서구","(주)우양네트웍스 송산주유소","부산 강서구 호계로 200 (죽동동)","20220814","S-OIL","셀프","0","1699","1825","0"
"A0033322","부산 강서구","(주)우양네트웍스 송산주유소","부산 강서구 호계로 200 (죽동동)","20220815","S-OIL","셀프","0","1699","1825","0"
"A0033322","부산 강서구","(주)우양네트웍스 송산주유소","부산 강서구 호계로 200 (죽동동)","20220816","S-OIL","셀프","0","1699","1825","0"
"A0033322","부산 강서구","(주)우양네트웍스 송산주유소","부산 강서구 호계로 200 (죽동동)","20220817","S-OIL","셀프","0","1699","1825","0"
"A0027546","부산 강서구","(주)젤코바에너지","부산 강서구 낙동남로 700","20220810","S-OIL","일반","0","1735","1875","0"
"A0027546","부산 강서구","(주)젤코바에너지","부산 강서구 낙동남로 700","20220811","S-OIL","일반","0","1715","1865","0"
"A0027546","부산 강서구","(주)젤코바에너지","부산 강서구 낙동남로 700","20220812","S-OIL","일반","0","1705","1845","0"
"A0027546","부산 강서구","(주)젤코바에너지","부산 강서구 낙동남로 700","20220813","S-OIL","일반","0","1695","1845","0"
"A0027546","부산 강서구","(주)젤코바에너지","부산 강서구 낙동남로 700","20220814","S-OIL","일반","0","1695","1845","0"
"A0027546","부산 강서구","(주)젤코바에너지","부산 강서구 낙동남로 700","20220815","S-OIL","일반","0","1695","1845","0"
"A0027546","부산 강서구","(주)젤코바에너지","부산 강서구 낙동남로 700","20220816","S-OIL","일반","0","1685","1835","0"
"A0027546","부산 강서구","(주)젤코바에너지","부산 강서구 낙동남로 700","20220817","S-OIL","일반","0","1685","1835","0"
"A0027682","부산 강서구","CJ대한통운㈜ 성민주유소","부산 강서구 가락대로 389 (송정동)","20220810","S-OIL","일반","0","1779","1879","0"
"A0027682","부산 강서구","CJ대한통운㈜ 성민주유소","부산 강서구 가락대로 389 (송정동)","20220811","S-OIL","일반","0","1779","1879","0"
"A0027682","부산 강서구","CJ대한통운㈜ 성민주유소","부산 강서구 가락대로 389 (송정동)","20220812","S-OIL","일반","0","1779","1879","0"
"A0027682","부산 강서구","CJ대한통운㈜ 성민주유소","부산 강서구 가락대로 389 (송정동)","20220813","S-OIL","일반","0","1759","1859","0"
"A0027682","부산 강서구","CJ대한통운㈜ 성민주유소","부산 강서구 가락대로 389 (송정동)","20220814","S-OIL","일반","0","1759","1859","0"
"A0027682","부산 강서구","CJ대한통운㈜ 성민주유소","부산 강서구 가락대로 389 (송정동)","20220815","S-OIL","일반","0","1759","1859","0"
"A0027682","부산 강서구","CJ대한통운㈜ 성민주유소","부산 강서구 가락대로 389 (송정동)","20220816","S-OIL","일반","0","1759","1859","0"
"A0027682","부산 강서구","CJ대한통운㈜ 성민주유소","부산 강서구 가락대로 389 (송정동)","20220817","S-OIL","일반","0","1759","1829","0"
"A0033651","부산 강서구","KH남해서비스㈜ 서부산주유소","부산광역시 강서구 남해2지선고속도로 19","20220810","SK에너지","셀프","0","1753","1833","0"
"A0033651","부산 강서구","KH남해서비스㈜ 서부산주유소","부산광역시 강서구 남해2지선고속도로 19","20220811","SK에너지","셀프","0","1733","1813","0"
"A0033651","부산 강서구","KH남해서비스㈜ 서부산주유소","부산광역시 강서구 남해2지선고속도로 19","20220812","SK에너지","셀프","0","1733","1803","0"
