달음산주유소,부산 기장군 장안읍 정관로 1115,"X :129.233115, Y :35.3223354"
대경산업(주) 구랑주유소,부산 강서구 가락대로 546 (구랑동),"X :128.856707, Y :35.1275374"
대경주유소,부산 동래구 반송로 185 (안락동),"X :129.095708, Y :35.1979687"
S-OIL 대경주유소,부산 사하구 감천항로 64 (구평동),"X :128.994805, Y :35.0841694"
대동주유소,부산 사상구 낙동대로 681,"X :128.964953, Y :35.1234885"
대림주유소,부산 사상구 낙동대로 1320,"X :128.976568, Y :35.1779559"
대명주유소,부산 부산진구 가야대로 523 (가야동),"X :129.029227, Y :35.1539616"
대변주유소,부산 기장군 기장읍 연화길 34,"X :129.224985, Y :35.2168392"
대성주유소,부산광역시 남구 문현로 67 (문현동),"X :129.076535, Y :35.1438243"
대양대박주유소,부산 동구 성남로 42 (좌천동),"X :129.054796, Y :35.1305062"
대양산업(주)대양가덕주유소,부산 강서구 거가대로 2571  (천성동),"X :128.807799, Y :35.0228346"
대양산업(주)대영주유소,부산 수영구 수영로 731,"X :129.119402, Y :35.1689002"
대양산업(주)동화주유소,부산 해운대구 해운대로 211 (재송동),"X :129.125951, Y :35.1797703"
대양석유(주) SK괴정주유소,부산광역시 사하구  사하로 129,"X :128.992521, Y :35.0934891"
대양석유(주)한마음주유소,부산 강서구 르노삼성로 77 (명지동),"X :128.928543, Y :35.102336"
대양주유소,부산 부산진구 새싹로 61-1 (부암동),"X :129.054601, Y :35.1629062"
대원주유소,부산 동래구 미남로 38,"X :129.071274, Y :35.1976951"
대일주유소,부산 남구 황령대로 401-2 (대연동),"X :129.101089, Y :35.1442843"
대일주유소,부산 동래구 충렬대로 124 (온천동),"X :129.073886, Y :35.2058779"
대창제1주유소,부산 사하구 을숙도대로 821 (구평동),"X :128.994125, Y :35.0859289"
대호주유소,부산 사하구 하신중앙로 55 (신평동),"X :128.964513, Y :35.0841230"
대흥오일뱅크주유소,부산 사상구 새벽로 2,"X :128.979946, Y :35.1416015"
대흥주유소,부산 부산진구 동평로 21,"X :129.031835, Y :35.1648490"
덕포주유소,부산 사상구 백양대로 682 (덕포동),"X :128.989053, Y :35.1677937"
동구SK주유소,부산 동구 중앙대로 352 (초량동),"X :129.047480, Y :35.1270073"
동명주유소,부산광역시 남구 문현2동 807-4,"X :129.067415, Y :35.137632"
동방석유㈜직영 대저주유소,부산 강서구 낙동북로 209 (대저1동),"X :128.951839, Y :35.2142143"
동방석유(주)직영 모든주유소,부산 서구 감천로 227 (암남동),"X :129.012605, Y :35.0821992"
동방석유(주)초량주유소,부산 동구  중앙대로 302 (초량동),"X :129.044584, Y :35.1234966"
동방석유(주)푸른주유소,부산 동래구 충렬대로 121 (온천동),"X :129.073934, Y :35.2064538"
동방석유(주)형제주유소,부산광역시 동구  자성로 127 (범일2동),"X :129.064099, Y :35.1374943"
동방석유(주)황령산주유소,부산 부산진구 황령대로 66 (전포동),"X :129.066672, Y :35.1494719"
동방석유(주)sk전포주유소,부산 부산진구 동천로 10 (전포동),"X :129.063083, Y :35.1498485"
동방주유소,부산 영도구 남항서로 96(남항동2가),"X :129.063083, Y :35.1498485"
동부산농협클린주유소,부산 기장군 일광면 기장대로 1037,"X :129.233213, Y :35.2862895"
동부산셀프주유소,부산 해운대구 반송로 875 (반송동),"X :129.150188, Y :35.2306892"
동성셀프주유소,부산 강서구 명지국제8로 272 (명지동),"X :128.922519, Y :35.0974846"
동양가스(주) 명품주유소반송점,부산 해운대구 반송로 781 (석대동),"X :129.145416, Y :35.2234116"
동양가스산업(주)명품주유소,부산광역시 북구  금곡대로 113 (덕천동),"X :129.006802, Y :35.2197414"
동양주유소,부산 금정구  반송로 391 (서동),"X :129.107067, Y :35.2131631"
동양주유소/충전소,부산 기장군 기장읍 기장대로 530,"X :129.220751, Y :35.2423915"
동원주유소(주),부산 사하구 감천항로 445 (구평동),"X :128.995293, Y :35.0542151"
동진주유소,부산 금정구 금정로 216  (구서동),"X :129.090208, Y :35.2434002"
동해주유소,부산 해운대구 재반로 163 (재송동),"X :129.128407, Y :35.1927217"
