,title,description,originallink,link,pubDate
50,'치킨값 전쟁' 마트 1만원 vs 프랜차이즈 2만원...결국 맛으로 승부,"거리두기 해제 이후 배달수요가 줄어든 대신 매장 판매가 늘면서 판매량은 지난해와 비슷한 수준을 유지하고 있지만 기름, 밀가루 등 각종 원자재가격이 상승해 마진율은 대폭 감소하는 추세다. 일각에서는 원자재... ",http://www.newspim.com/news/view/20220811000717,http://www.newspim.com/news/view/20220811000717,"Thu, 11 Aug 2022 14:42:00 +0900"
51,"[영상]치킨집 점주들 ""반값치킨에도 남는다?…어디서 약을 파나""","반죽, 기름, 가스비, 전기세, 포장비, 염지 비용에 부가세 빼면 300원 정도 남나 보다”, “100원 남아도... 프랜차이즈 구조는 닭과 양념, 기름, 박스, 치킨무 등을 원가 이상의 가격으로 사도록 되어 있기 때문이다. 한... ",https://www.sedaily.com/NewsView/269R90CE9V,https://n.news.naver.com/mnews/article/011/0004086566?sid=102,"Thu, 11 Aug 2022 11:25:00 +0900"
52,<이우석의 푸드로지>열무쌈·호박전·가지튀김… 여름엔 菜力이 체력,후숙해서 당도가 오른 단호박에 튀김옷을 입히고 뜨거운 기름에 순식간에 튀겨내 ‘겉바속촉’ 상태로 익은 덴푸라를 덮밥이나 요리로 즐길 수 있는 집이다. 부드럽고 달달한 맛이 짭조름한 양념국물(쓰유)과 잘... ,http://www.munhwa.com/news/view.html?no=2022081101032712000002,https://n.news.naver.com/mnews/article/021/0002525988?sid=103,"Thu, 11 Aug 2022 09:16:00 +0900"
53,"박병원 ""민심과 동떨어진 정책은 필패…국민 설득이 먼저다""",트럭 한대 끌고 다니는 개인자영업자나 농민에게 기름을 싸게 공급해주고 있어요. 필요한 계층에는 보조금 형태로 지원하면 되는데 일률적으로 세금을 내리니 굳이 도와주지 않아도 될 사람들에게도 혜택이 돌아가는 우를... ,http://www.edaily.co.kr/news/newspath.asp?newsid=01220166632426336,https://n.news.naver.com/mnews/article/018/0005288987?sid=101,"Thu, 11 Aug 2022 06:11:00 +0900"
54,"치킨에 '담배꽁초' 튀김이?…점주 ""폐업하겠다""","배달된 치킨에서 기름에 튀겨진 담배꽁초가 발견돼 논란이 일고 있는 가운데, 문제가 된 매장의 점주가 본사 측에 폐업하겠다는 뜻을 밝힌 것으로 알려졌다. 10일 경남 마산에 있는 한 치킨 프렌차이즈 가맹점에서 발생한... ",http://www.edaily.co.kr/news/newspath.asp?newsid=01098806632426336,https://n.news.naver.com/mnews/article/018/0005288953?sid=102,"Thu, 11 Aug 2022 00:01:00 +0900"
55,“당당치킨 6990원에 팔아도 남는다” 했더니…“정의로운 척 말라” 치킨 점...,"자영업자들이 활동하는 네이버 카페 ‘아프니까 사장이다’ 등에는 육계 시세가 ㎏당 3900원인데 반죽과 기름, 염지 등 재료비와 가스비, 전기세, 포장비 등 조리 비용을 감안하면 6990원이란 가격은 비현실적이란... ",http://news.heraldcorp.com/view.php?ud=20220810000789,https://n.news.naver.com/mnews/article/016/0002027093?sid=102,"Wed, 10 Aug 2022 17:00:00 +0900"
56,"""치킨 줄서서 삽니다""...프랜차이즈 맞서 대형마트 '가성비 치킨' 인기몰이",'뉴 한통 가아아득 치킨'은 9~11호 계육을 깨끗한 기름으로 튀겨내 약 한 마리 반 분량(1.2kg)을 한통에 가득 담은 상품이다. 한통치킨은 한 마리 반 구성의 롯데마트 대표 상품 중 하나로 월 평균 3만 5000개 이상... ,http://www.thekpm.com/news/articleView.html?idxno=131474,http://www.thekpm.com/news/articleView.html?idxno=131474,"Wed, 10 Aug 2022 10:06:00 +0900"
57,"'이준석 키즈' 박민영, 용산 출근…""미우나 고우나 우리 대통령""","아울러 ""실제 물가가 폭등하는 와중에도 부동산과 기름 값은 빠른 속도로 안정되고 있다""며 ""분명한 정부의 성과인데도 충분히 알려지지 못했다. 부정적인 측면만 한없이 증폭되고 있다""고 주장하기도 했습니다. 이준석... ",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4821005,https://n.news.naver.com/mnews/article/057/0001682664?sid=100,"Wed, 10 Aug 2022 10:01:00 +0900"
58,"중국 7월 CPI 2년래 최고치, 2.9% 전망","기름 값은 6월 말부터 7월 말까지 당국이 세차례 가격 인하 조정에 나선 결과 휘발유와 디젤유 가격이 매톤당 각각 980 위안, 945 위안으로 하락했다. 하지만 소폭의 기름값 하락이 물가를 안정시키는데는 큰... ",http://www.newspim.com/news/view/20220810000117,http://www.newspim.com/news/view/20220810000117,"Wed, 10 Aug 2022 09:08:00 +0900"
59,철강업계 먹구름 껴도 세아제강은 웃는다…왜?,고유가일 땐 기름을 뽑으려는 수요가 많아 유정용 강관 주문이 증가한다. 한국철강협회에 따르면 올해 1~7월 강관 수출은 107만톤 규모로 전년 동기 대비 17.1% 증가했다. 이 중 56%가 미국으로 수출됐다. 특히 유정용 강관의... ,http://news.mt.co.kr/mtview.php?no=2022080916475432446,https://n.news.naver.com/mnews/article/008/0004781157?sid=101,"Wed, 10 Aug 2022 05:13:00 +0900"
60,교통비 15% 폭등… 24년 만에 최고치,"치솟은 유가가 교통비 상승 흐름에 특히 기름을 부었다. 경유는 47.0%, 휘발유는 25.5%씩 오르면서 개인 운송장비 운영 가격 상승률을 26.0%로 끌어올렸다. 여기에 자동차 부품 공급망 차질로 카시트, 와이퍼 등... ",https://www.seoul.co.kr/news/newsView.php?id=20220810014015&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003293421?sid=101,"Wed, 10 Aug 2022 05:03:00 +0900"
61,"""치킨 사러 오픈런까지""…고물가시대, 마트치킨 인기↑",'New 한통가아아득 치킨'은 국내산 9~11호 계육을 사용한 제품으로 깨끗한 기름으로 튀겨내 깔끔한 맛이 특징이다. 대형마트는 치킨을 미끼 상품으로 대대적인 말복 할인행사도 기획 중이다. 롯데마트는 11일부터... ,https://www.news1.kr/articles/4767290,https://n.news.naver.com/mnews/article/421/0006268942?sid=101,"Wed, 10 Aug 2022 05:00:00 +0900"
62,강제징용 피해배상 문제로 시험대 오른 외교력-장필수 사회담당 편집국장,지난 4일 광주시의회에 열린 기자회견장에서 일제 강제징용 피해자인 정신영(92)할머니가 ‘내 목숨 값... 분노에 기름을 부었다. 정부는 민관협의회를 통해 해법을 찾겠다고 하지만 피해자들은 처음부터 참여하지 않았고... ,http://www.kwangju.co.kr/article.php?aid=1660050000742050085,http://www.kwangju.co.kr/article.php?aid=1660050000742050085,"Tue, 09 Aug 2022 22:02:00 +0900"
63,"마트업계는 '치킨 전쟁', 소비자 '열광' 이유 보니","더구나 최근 기름‧밀가루 값 인상을 명목으로 치킨 프랜차이즈들이 줄줄이 제품 가격 인상을 단행했고, 업계 1위 교촌치킨의 일부 가맹점은 배달비를 기존 3000원에서 4000원으로 올리면서 소비자 부담은 가중됐다.... ",http://www.iminju.net/news/articleView.html?idxno=79982,http://www.iminju.net/news/articleView.html?idxno=79982,"Tue, 09 Aug 2022 18:16:00 +0900"
64,‘국민의 발’ 교통비 15.3% 급증… 차량 관련 물가 다 올랐다,"치솟은 유가가 교통비 상승 흐름에 특히 기름을 부었다. 경유는 47.0%, 휘발유는 25.5%씩 오르면서 개인 운송장비 운영 가격 상승률을 26.0%로 끌어올렸다. 여기에 자동차 부품 공급망 차질로 카시트, 와이퍼 등... ",https://www.seoul.co.kr/news/newsView.php?id=20220809500179&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003293310?sid=101,"Tue, 09 Aug 2022 17:16:00 +0900"
65,대형마트 '초저가 치킨' 속속 등장…달라진 소비자 반응,해당 제품은 저렴한 가격 때문에 '냉동닭과 저렴한 기름을 쓴다'는 소문이 돌았다. 그러나 홈플러스에 따르면 당당치킨은 냉장닭을 사용하고 있으며 기름 역시 일반 치킨 프랜차이즈와 동일한 식용유를 사용하고... ,http://sports.hankooki.com/news/articleView.html?idxno=6804194,http://sports.hankooki.com/news/articleView.html?idxno=6804194,"Tue, 09 Aug 2022 17:14:00 +0900"
66,"""고래는 그만 괴롭히고래"" 우영우가 남긴 또렷한 발자국","크고 뭉툭한 사각형 머리가 특징인 향유고래는 머릿속에 질 좋은 기름이 가득하고 고기, 이빨, 가죽 등 쓰임이 아주 많아 오래전부터 고래잡이배의 표적이 되었다. 고래의 장 속에서 만들어지는 용연향은 고급 향수의... ",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002856071&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://n.news.naver.com/mnews/article/047/0002362478?sid=103,"Tue, 09 Aug 2022 17:10:00 +0900"
67,[관점뉴스] 돌아온 대형마트 ‘초저가 치킨’… 소비자·가맹점주·프랜차이즈...,롯데마트 ‘New 한통가아아득 치킨’은 9~11호 계육을 깨끗한 기름으로 튀겨내 약 한 마리 반(1.2㎏)을 한 통에 가득 담은 상품이다. 이마트는 9호 냉장육을 사용한 가성비 치킨 ‘5분 치킨’을 9980원에 판매하고 있다. 5분... ,https://www.news2day.co.kr/article/20220809500237,https://www.news2day.co.kr/article/20220809500237,"Tue, 09 Aug 2022 16:44:00 +0900"
68,이틀간 500㎜ 육박 역대급 강수··· 11일까지 수도권~전북 북부까지 비구름...,"계속 기름을 공급하는 모양새”라고 비유했다. 12일부터는 정체전선이 남하한 후 점차 약화되겠다. 이때도 충청 남부, 전북, 경북 북부 중심으로 강한 비를 내릴 수 있다. 13일부터는 북한에서 활성화된 정체전선이... ",https://www.khan.co.kr/environment/climate/article/202208091642001,https://n.news.naver.com/mnews/article/032/0003165509?sid=103,"Tue, 09 Aug 2022 16:43:00 +0900"
69,대출금리 폭탄에 수도권 집값 폭락 지속...전북은 상승세 지속 왜?,최근 금융비용과 기름 값이 크게 올랐고 건설자재 가격이 최고 30%까지 치솟았지만 고작 1%의 분양가 상승효과에 그칠 것으로 예상되고 있기 때문이다. 여기에 올 연말이전 주택담보 대출 금리가 8%까지 오를 것으로... ,https://www.jjan.kr/article/20220809580241,https://www.jjan.kr/article/20220809580241,"Tue, 09 Aug 2022 16:40:00 +0900"
